# PackageID; Layer; Column; Row; TS; TS1; TS2; TriggerTS; TriggerID; ext. TS; ext. TS2; FIFO overflow
61	4	20	243	652	-1	112	23711855616	63507	23711856268	5650160	0
61	4	21	246	651	-1	124	23711855616	63507	23711856267	5650172	0
61	4	20	242	651	-1	124	23711855616	63507	23711856267	5650172	0
61	4	8	195	303	-1	64	23712001024	63578	23712002351	5796288	0
61	4	8	197	295	-1	65	23712001024	63578	23712002343	5796289	0
61	4	8	196	290	-1	90	23712001024	63578	23712002338	5796314	0
61	4	131	217	409	-1	118	23712001024	63578	23712002457	5796342	0
61	4	131	218	404	-1	22	23712001024	63578	23712002452	5796374	0
61	4	97	141	961	-1	25	23712035840	63595	23712035777	5829657	0
61	4	97	142	959	-1	43	23712035840	63595	23712035775	5829675	0
61	4	97	140	966	-1	25	23712035840	63595	23712035782	5829785	0
61	4	43	334	18	-1	10	23712058368	63606	23712059410	5853194	0
61	4	42	334	19	-1	10	23712058368	63606	23712059411	5853194	0
61	4	41	349	18	-1	10	23712058368	63606	23712059410	5853194	0
61	4	42	335	19	-1	12	23712058368	63606	23712059411	5853196	0
61	4	41	347	20	-1	12	23712058368	63606	23712059412	5853324	0
61	4	42	93	30	-1	47	23712058368	63606	23712059422	5853231	0
61	4	41	102	23	-1	41	23712058368	63606	23712059415	5853353	0
61	4	42	92	24	-1	46	23712058368	63606	23712059416	5853358	0
61	4	41	101	17	-1	61	23712058368	63606	23712059409	5853373	0
61	4	40	102	18	-1	52	23712058368	63606	23712059410	5853364	0
61	4	43	85	17	-1	87	23712058368	63606	23712059409	5853399	0
61	4	42	91	23	-1	58	23712058368	63606	23712059415	5853370	0
61	4	41	99	18	-1	47	23712058368	63606	23712059410	5853359	0
61	4	43	86	17	-1	108	23712058368	63606	23712059409	5853420	0
61	4	42	90	21	-1	63	23712058368	63606	23712059413	5853503	0
61	4	41	100	17	-1	107	23712058368	63606	23712059409	5853419	0
61	4	42	89	21	-1	56	23712058368	63606	23712059413	5853496	0
61	4	41	98	20	-1	56	23712058368	63606	23712059412	5853496	0
61	4	42	88	19	-1	55	23712058368	63606	23712059411	5853495	0
61	4	41	97	23	-1	52	23712058368	63606	23712059415	5853492	0
61	4	42	87	18	-1	75	23712058368	63606	23712059410	5853515	0
61	4	41	96	29	-1	45	23712058368	63606	23712059421	5853613	0
61	4	42	86	18	-1	103	23712058368	63606	23712059410	5853671	0
62	4	42	348	18	-1	12	23712058368	63606	23712059410	5853708	0
62	4	42	336	21	-1	13	23712058368	63606	23712059413	5853709	0
62	4	42	337	22	-1	13	23712058368	63606	23712059414	5853709	0
62	4	42	338	23	-1	14	23712058368	63606	23712059415	5853710	0
62	2	56	180	599	-1	95	23712103424	63628	23712104023	5897951	0
62	4	19	339	25	-1	29	23712103424	63628	23712059417	5899037	0
62	4	19	350	826	-1	71	23712103424	63628	23712105274	5899207	0
62	4	19	347	835	-1	81	23712105472	63629	23712105283	5899217	0
62	4	19	348	825	-1	91	23712105472	63629	23712105273	5899227	0
62	4	26	349	825	-1	0	23712138240	63645	23712105273	5932800	0
62	4	20	308	669	-1	121	23712162816	63657	23712138909	5958393	0
62	4	16	228	663	-1	0	23712162816	63657	23712164503	5958400	0
62	4	20	224	658	-1	1	23712162816	63657	23712164498	5958401	0
62	4	16	230	657	-1	125	23712162816	63657	23712164497	5958397	0
62	4	20	225	657	-1	16	23712162816	63657	23712164497	5958544	0
